Identifier,Label,Description,Created,Modified,History notes,Type,
1614,16 to 19 bursary fund,"Those aged between 16 and 19 years who think they might struggle with the costs for full-time education or training, may be eligible for a bursary. ",2013-04-03,2013-04-03,Added in version 4.00.,Service,
1152,Abandoned shopping trolleys,"Abandoned shopping trolleys have a negative impact on the quality of the local environment and can be hazardous to pedestrians, cyclists and road users.  Local Authorities are permitted to seize, store and dispose of abandoned shopping trolleys within their area.",2013-04-03,2013-04-03,Added in version 3.05.,Service,
372,Abandoned vehicles,The local council will deal with any vehicles reported as abandoned on local roads or property (usually including private property). The vehicle will be removed.,2013-04-03,2013-04-03,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Abandoned vehicles' to 'Vehicles - abandoned - reporting and procedures' in version 3.00. Name changed to 'Abandoned vehicles' in version 4.00.",Service,
785,Abnormal load notification,A haulier who intend to move an abnormal load such as gross weight exceeding 40 tonnes or more must notify and gain consent from the police or the local authority..,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Abnormal loads' to 'Transport - abnormal loads - notification' in version 3.00. Name changed to 'Abnormal load notification' in version 4.00.,Service,
1466,Accessibility - local facilities,"Information on the accessibility of various facilities - shops, theatres, leisure centres etc. - within the local authority area. 
In the UK this information is often provided in conjunction with DisabledGo.",2013-04-03,2013-04-03,Added in version 3.10. Name changed to 'Accessibility - local facilities' in version 4.00.,Service,
853,Accessibility of Web sites,The local authority is expected to provide information via it's web site in a way which is accessible to all citizens and to advise citizens of the steps it has taken to meet the required government standards on accessibility,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Internet service standards' to 'Council websites - accessibility' in version 3.00. name changed to 'Accessibility of Web sites' in version 4.00.,Service,
429,Accident reporting,"Employers have a duty to report certain dangerous occurrences and accidents at work to the Local Authority who will investigate any incidents. The outcome of these enquiries usually involves the giving of advice to the employer. If a blatant breach of requirements is identified as the main reason for an accident happening, then formal action will be taken.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Accidents' to 'Safety - health and safety - accident reporting' in version 3.00. Name changed to 'Accident reporting' in version 4.00.,Service,
681,Acupuncturist registration,All persons that carry out acupuncture are required to be registered with the local authority. Officers will visit the premises to ensure they comply with the requirements of all relevant legislation.,2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Licence - acupuncturist' to 'Licences - acupuncturist' in version 3.00. Term name changed from 'Licences - acupuncturist' to 'Registration - acupuncturist' in version 3.03. Name changed to 'Acupuncturist registration' in version 4.00.,Service,
160,Adoption,The local authority attempts to find adoptive homes for children who are no longer able to live in their own homes.  The authority reviews applications from prospective adoptive parents to assess suitability.  Ongoing support is provided for adopted children and their new families.,2013-04-03,2013-04-03,Term name changed from 'Adopting' to 'Adoption' and scope notes added in version 2.02. Term name changed from 'Adoption' to 'Social services - adoptive homes' in version 3.00. Name changed to 'Adoption' in version 4.00.,Service,
225,Adult carers,"Provision of advice and support for adult carers who care for the elderly, children with special needs and adults with physical or learning disabilities. Carers may be entitled to receive additional help and support for their own needs from the local authority.",2013-04-03,2013-04-03,Added scope notes in version 2.02. Term name changed from 'Adult carers' to 'Carers - adult' in version 3.00. Name changed to 'Adult carers' in version 4.00.,Service,
